Name,Type,TermStart,TermEnd,State,Constituency,Party,Gender,Education,EducationDetails,Age,Debates,PrivateMemberBills,Questions,Attendance,Notes,NationalDebatesAverage,NationalPrivateMemberBillsAverage,NationalQuestionsAverage,NationalAttendanceAverage,StateDebatesAverage,StatePrivateMemberBillsAverage,StateQuestionsAverage,StateAttendanceAverage
Amarinder Singh,Elected,18-May-14,In office,Punjab,Amritsar,Indian National Congress,Male,Graduate,Information not available,72,3,0,0,27, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4,0,9,80%
Anandrao Adsul,Elected,18-May-14,In office,Maharashtra,Amravati,Shiv Sena,Male,Graduate,"B.Com.; Educated at Shivaji University, Kolhapur, Maharashtra",67,3,0,35,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Anant Gangaram Geete,Elected,18-May-14,In office,Maharashtra,Raigad,Shiv Sena,Male,Matric,"Educated at Mumbai Board (Formerly Pune Board), Ratnagiri (Maharashtra) ",63,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Anant Kumar Hegde,Elected,18-May-14,In office,Karnataka,Uttara Kannada,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at M.M. Arts and Science College, Sirsi (Karnataka) ",46,0,0,21,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
Ananth Kumar,Elected,18-May-14,In office,Karnataka,Bangalore South,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B. (Spl.); Educated at K.S. Arts College and J.S.S. Law College, Karnataka University, Hubli (Karnataka) ",55,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Anbumani Ramadoss,Elected,18-May-14,In office,Tamil Nadu,Dharmapuri,Pattali Makkal Katchi,Male,Graduate,"M.B.B.S. Educated at Madras Medical College, Chennai (Tamil Nadu) ",45,3,0,0,59, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
Anil Shirole,Elected,18-May-14,In office,Maharashtra,Pune,Bharatiya Janata Party,Male,Graduate,Information not available,63,4,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Anirudhan Sampath,Elected,18-May-14,In office,Kerala,Attingal,Communist Party of India (Marxist),Male,Post Graduate,M.A. (Eco) L.L.M (Constt. Law),52,15,0,28,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,9.2,0.1,38,88%
Anju Bala,Elected,18-May-14,In office,Uttar Pradesh,Misrikh,Bharatiya Janata Party,Female,Graduate,Information not available,34,9,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Anoop Mishra,Elected,18-May-14,In office,Madhya Pradesh,Morena,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,57,0,0,1,59, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Anshul Verma,Elected,18-May-14,In office,Uttar Pradesh,Hardoi,Bharatiya Janata Party,Male,Post Graduate,Information not available,39,3,0,0,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Anto Antony,Elected,18-May-14,In office,Kerala,Pathanamthitta,Indian National Congress,Male,Graduate,"B.A.; Educated at St. Thomas College, Palai",57,8,0,90,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,9.2,0.1,38,88%
Anupam Hazra,Elected,18-May-14,In office,West Bengal,Bolpur,All India Trinamool Congress,Male,Doctorate,Information not available,32,0,0,0,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Anupriya Singh Patel,Elected,18-May-14,In office,Uttar Pradesh,Mirzapur,Apna Dal,Female,Post Graduate,Information not available,33,3,0,23,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Anurag Singh Thakur,Elected,18-May-14,In office,Himachal Pradesh,Hamirpur,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at Doaba College, Jalandhar, Punjab",39,7,0,64,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.3,0,19,93%
Aparupa Poddar (Afrin Ali),Elected,18-May-14,In office,West Bengal,Arambagh,All India Trinamool Congress,Female,Post Graduate,Information not available,28,4,0,5,73, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Arjun Charan Sethi,Elected,18-May-14,In office,Odisha,Bhadrak,Biju Janata Dal,Male,Post Graduate,"M.A.; Educated at K.C. Vidyamandir, Agarpada, Bhadrak College, University College , Vani Vihar, Bhubaneswar, Orissa",72,0,0,1,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.1,0.3,12,93%
Arjun Ram Meghwal,Elected,18-May-14,In office,Rajasthan,Bikaner,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Pol. Science); Educated at Sri Dungar College, Bikaner and University of Phillipine, Phillipines",60,23,4,68,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
Arjunlal Meena,Elected,18-May-14,In office,Rajasthan,Udaipur,Bharatiya Janata Party,Male,Post Graduate,Information not available,49,2,0,11,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
Arka Keshari Deo,Elected,18-May-14,In office,Odisha,Kalahandi,Biju Janata Dal,Male,Graduate,Information not available,35,1,0,3,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.1,0.3,12,93%
Arpita Ghosh,Elected,18-May-14,In office,West Bengal,Balurghat,All India Trinamool Congress,Female,Graduate,Information not available,47,1,0,0,32, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Arun Kumar,Elected,18-May-14,In office,Bihar,Jahanabad,Rashtriya Lok Samta Party,Male,Doctorate,Information not available,55,5,0,16,59, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Arvind Sawant,Elected,18-May-14,In office,Maharashtra,Mumbai-South,Shiv Sena,Male,Graduate,Information not available,62,11,0,2,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Asaduddin Owaisi,Elected,18-May-14,In office,Telangana,Hyderabad,All India Majlis-E-Ittehadul Muslimmen,Male,Graduate,"LL.B (London), Bar-At-Law (Lincolns Inn); Educated at Hyderabad Public School, St. Marys Junior College and Nizam College",45,5,0,87,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.3,0,14,85%
Ashok Gajapathi Raju Pusapati,Elected,18-May-14,In office,Andhra Pradesh,Vizianagaram,Telugu Desam Party,Male,Under Matric,Information not available,62,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Ashok Kumar Doharey,Elected,18-May-14,In office,Uttar Pradesh,Etawah,Bharatiya Janata Party,Male,Graduate,Information not available,43,0,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Ashok Mahadeorao Nete,Elected,18-May-14,In office,Maharashtra,Gadchiroli-Chimur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,50,6,0,55,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Ashok Shankarrao Chavan,Elected,18-May-14,In office,Maharashtra,Nanded,Indian National Congress,Male,Post Graduate,Information not available,55,0,0,32,55, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Ashwini Kumar,Elected,18-May-14,In office,Haryana,Karnal,Bharatiya Janata Party,Male,Graduate,Information not available,57,0,0,10,50, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,19,85%
Ashwini Kumar Choubey,Elected,18-May-14,In office,Bihar,Buxar,Bharatiya Janata Party,Male,Graduate,Information not available,61,18,0,2,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Asrarul Haque Mohammad,Elected,18-May-14,In office,Bihar,Kishanganj,Indian National Congress,Male,Post Graduate,"Fazil (M.A.); Educated at Darul Uloom, Deoband, Uttar Pradesh",72,2,0,0,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Azmeera Seetaram Naik,Elected,18-May-14,In office,Telangana,Mahabubabad,Telangana Rashtra Samithi,Male,Doctorate,Information not available,56,1,0,0,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.3,0,14,85%
B. S. Yeddyurappa,Elected,18-May-14,In office,Karnataka,Shimoga,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,71,3,0,10,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
B. Senguttuvan,Elected,18-May-14,In office,Tamil Nadu,Vellore,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,Information not available,57,8,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
B. Sreeramulu,Elected,18-May-14,In office,Karnataka,Bellary,Bharatiya Janata Party,Male,Graduate,Information not available,43,2,0,71,50, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
B.N. Chandrappa,Elected,18-May-14,In office,Karnataka,Chitradurga,Indian National Congress,Male,Post Graduate,Information not available,58,2,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
B.V. Nayak,Elected,18-May-14,In office,Karnataka,Raichur,Indian National Congress,Male,Graduate,Information not available,48,0,0,88,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
Babul Supriya Baral (Babul Supriyo),Elected,18-May-14,In office,West Bengal,Asansol,Bharatiya Janata Party,Male,Graduate,Information not available,44,0,0,0,41, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Babulal Chaudhary,Elected,18-May-14,In office,Uttar Pradesh,Fatehpur Sikri,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,66,2,0,2,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Badaruddoza Khan,Elected,18-May-14,In office,West Bengal,Murshidabad,Communist Party of India (Marxist),Male,Graduate,Information not available,59,7,0,22,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Badruddin Ajmal,Elected,18-May-14,In office,Assam,Dhubri,All India United Democratic Front,Male,Post Graduate,"Fazil-e-Deoband (Masters in Islamic Theology and Arabic); Educated at Darul Uloom, Deoband, Uttar Pradesh",64,11,0,40,59, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.6,0,10,85%
Bahadur Singh,Elected,18-May-14,In office,Rajasthan,Bharatpur,Bharatiya Janata Party,Male,Under Matric,Information not available,56,3,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
Baijayant Jay Panda,Elected,18-May-14,In office,Odisha,Kendrapara,Biju Janata Dal,Male,Graduate,"Dual Degree Course in Engineering and Management in Communications; Educated at Michigan Technological University, U.S.A.",50,1,1,70,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.1,0.3,12,93%
Balabhadra Majhi,Elected,18-May-14,In office,Odisha,Nabarangpur,Biju Janata Dal,Male,Graduate,Information not available,53,4,0,0,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.1,0.3,12,93%
Balka Suman,Elected,18-May-14,In office,Telangana,Peddapalle,Telangana Rashtra Samithi,Male,Post Graduate,Information not available,31,1,0,0,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.3,0,14,85%
Bandaru Dattatreya,Elected,18-May-14,In office,Telangana,Secunderabad,Bharatiya Janata Party,Male,Graduate,Information not available,66,3,0,11,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.3,0,14,85%
Banshilal Mahto,Elected,18-May-14,In office,Chhattisgarh,Korba,Bharatiya Janata Party,Male,Graduate,Information not available,73,2,0,24,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,8,91%
Bhagat Singh Koshyari,Elected,18-May-14,In office,Uttarakhand,Nainital-Udhamsingh Nagar,Bharatiya Janata Party,Male,Post Graduate,"M.A. (English) Educated at Almora College, Almora (Agra University)",72,1,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.2,0.6,2,88%
Bhagirath Prasad,Elected,18-May-14,In office,Madhya Pradesh,Bhind,Bharatiya Janata Party,Male,Doctorate,Information not available,66,0,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Bhagwant Mann,Elected,18-May-14,In office,Punjab,Sangrur,Aam Aadmi Party,Male,Inter/ Higher Secondary,Information not available,41,10,0,6,68, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4,0,9,80%
Bhagwanth Khuba,Elected,18-May-14,In office,Karnataka,Bidar,Bharatiya Janata Party,Male,Graduate,Information not available,46,1,0,0,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
Bhairon Prasad Mishra,Elected,18-May-14,In office,Uttar Pradesh,Banda,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,60,14,0,26,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Bhanu Pratap Singh Verma,Elected,18-May-14,In office,Uttar Pradesh,Jalaun,Bharatiya Janata Party,Male,Post Graduate,Information not available,55,12,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Bharat Singh,Elected,18-May-14,In office,Uttar Pradesh,Ballia,Bharatiya Janata Party,Male,Graduate,Information not available,62,7,0,17,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Bharatendra Singh,Elected,18-May-14,In office,Uttar Pradesh,Bijnor,Bharatiya Janata Party,Male,Post Graduate,Information not available,50,4,0,0,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Bharatiben Dhirubhai Shiyal,Elected,18-May-14,In office,Gujarat,Bhavnagar,Bharatiya Janata Party,Female,Graduate,Information not available,50,0,0,0,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
Bhartruhari Mahtab,Elected,18-May-14,In office,Odisha,Cuttack,Biju Janata Dal,Male,Post Graduate,"M.A. (English); Educated at Utkal University, (Orissa) ",56,24,4,44,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.1,0.3,12,93%
Bhavana Pundlikrao Gawali Patil,Elected,18-May-14,In office,Maharashtra,Yavatmal-Washim,Shiv Sena,Female,Graduate,"B.A. (Marathi); Educated at Amravati University, Amravati (Maharashtra) ",41,0,0,0,68, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Bheemrao B. Patil,Elected,18-May-14,In office,Telangana,Zahirabad,Telangana Rashtra Samithi,Male,Graduate,Information not available,58,4,0,44,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.3,0,14,85%
Bhola Singh,Elected,18-May-14,In office,Uttar Pradesh,Bulandshahr,Bharatiya Janata Party,Male,Professional Graduate,Information not available,38,5,0,1,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Bhuwan Chandra Khanduri,Elected,18-May-14,In office,Uttarakhand,Garhwal,Bharatiya Janata Party,Male,Graduate,Information not available,79,1,0,7,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.2,0.6,2,88%
Bidyut Baran Mahato,Elected,18-May-14,In office,Jharkhand,Jamshedpur,Bharatiya Janata Party,Male,Graduate,Information not available,49,9,0,37,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.3,25,90%
Bijoy Chandra Barman,Elected,18-May-14,In office,West Bengal,Jalpaiguri,All India Trinamool Congress,Male,Post Graduate,Information not available,57,0,0,0,64, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Bijoya Chakravarty,Elected,18-May-14,In office,Assam,Gauhati,Bharatiya Janata Party,Female,Post Graduate,"M.A. (English); Educated at Guwahati University, Guwahati, Assam and Banaras Hindu University, Varanasi (Uttar Pradesh) ",74,5,0,8,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.6,0,10,85%
Biren Singh Engti,Elected,18-May-14,In office,Assam,Autonomous District,Indian National Congress,Male,Post Graduate,"M.A., LL.B.; Educated at Guwahati University, Assam",69,0,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.6,0,10,85%
Birendra Kumar Chaudhary,Elected,18-May-14,In office,Bihar,Jhanjharpur,Bharatiya Janata Party,Male,Post Graduate,Information not available,60,4,0,11,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Bishnu Pada Ray,Elected,18-May-14,In office,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Bharatiya Janata Party,Male,Graduate,"B.Com. (Hons.); Educated at Andamohan College, Calcutta, West Bengal",64,2,0,9,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2,0,9,86%
Bodhsingh Bhagat,Elected,18-May-14,In office,Madhya Pradesh,Balaghat,Bharatiya Janata Party,Male,Graduate,Information not available,57,1,0,3,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Boora Narsaiah Goud,Elected,18-May-14,In office,Telangana,Bhongir,Telangana Rashtra Samithi,Male,Post Graduate,Information not available,55,8,0,4,73, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.3,0,14,85%
Brij Bhushan Sharan Singh,Elected,18-May-14,In office,Uttar Pradesh,Kaiserganj,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B.; Educated at Saket Mahavidyalay, Avadh University, Faizabad (Uttar Pradesh) ",57,4,0,0,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Butta Renuka,Elected,18-May-14,In office,Andhra Pradesh,Kurnool,Yuvajana Sramika Rythu Congress Party,Female,Under Matric,Information not available,42,3,0,6,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
